date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
11/11/2014,Jean Sibelius ,32,m,32, Symphony No. 2 in D major, Op. 43,nan,nan,nan,nan,nan,,
11/13/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Hamlet: Overture (Fantasy), Op.67,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/13/2014,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),Håkan Hardenberger , Trumpet,nan,nan,nan,,,
11/13/2014,Igor Stravinsky ,30,m,30, Sacre du Printemps, Le [The Rite of Spring],nan,nan,nan,nan,nan,,
11/14/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Hamlet: Overture (Fantasy), Op.67,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/14/2014,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),Håkan Hardenberger , Trumpet,nan,nan,nan,,,
11/14/2014,Igor Stravinsky ,30,m,30, Sacre du Printemps, Le [The Rite of Spring],nan,nan,nan,nan,nan,,
11/15/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Hamlet: Overture (Fantasy), Op.67,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/15/2014,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),Håkan Hardenberger , Trumpet,nan,nan,nan,,,
11/15/2014,Igor Stravinsky ,30,m,30, Sacre du Printemps, Le [The Rite of Spring],nan,nan,nan,nan,nan,,
11/18/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Hamlet: Overture (Fantasy), Op.67,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/18/2014,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),Håkan Hardenberger , Trumpet,nan,nan,nan,,,
11/18/2014,Igor Stravinsky ,30,m,30, Sacre du Printemps, Le [The Rite of Spring],nan,nan,nan,nan,nan,,
11/20/2014,John Harbison ,53,m,53, Koussevitzky Said: (for chorus and orchestra),Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/20/2014,Eriks Ešenvalds ,45,m,45, Lakes Awake at Dawn, for chorus and orchestra,Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan,,
11/20/2014,Sergei Prokofiev ,15,m,15, Sinfonia Concertante for Cello and Orchestra, Op. 125 (Symphony-Concerto),Yo-Yo Ma , Cello,nan,nan,nan,,
11/20/2014,Sergei Rachmaninoff ,9,m,9, Bells, Op. 35,Pavel Cernoch , Tenor Tanglewood Festival Chorus ,nan,nan,nan,,
11/21/2014,John Harbison ,53,m,53, Koussevitzky Said: (for chorus and orchestra),Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/21/2014,Eriks Ešenvalds ,45,m,45, Lakes Awake at Dawn, for chorus and orchestra,Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan,,
11/21/2014,Sergei Prokofiev ,15,m,15, Sinfonia Concertante for Cello and Orchestra, Op. 125 (Symphony-Concerto),Yo-Yo Ma , Cello,nan,nan,nan,,
