date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
7/31/2016,Johannes Brahms ,8,m,8, Concerto for Piano No. 1 in D minor, Op. 15,Paul Lewis , Piano,Andris Nelsons,Tanglewood Music Center Orchestra,Tanglewood - Shed,,
7/31/2016,Johannes Brahms ,8,m,8, Symphony No. 1 in C minor, Op. 68,nan,nan,nan,nan,nan,,
8/20/2016,Giuseppe Verdi ,51,m,51, Aida: Act 1: Ritorna vincitor [Return a Conqueror!],Andrea Carè , Tenor Tanglewood Festival Chorus ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
8/20/2016,Giuseppe Verdi ,51,m,51, Aida: Act 2: Excerpts (unspecified),nan,nan,nan,nan,nan,,,
8/21/2016,Hector Berlioz ,20,m,20, B�atrice et B�n�dict: Overture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
8/21/2016,George Tsontakis ,34,m,34, Sonnets, Tone Poems for English Horn and Orchestra,Robert Sheena , English Horn,nan,nan,nan,,
8/21/2016,Camille Saint-Saëns ,89,m,89, Concerto for Piano No. 5 in F major, Op. 103,Dejan Laz�c , Piano,nan,nan,nan,,
8/21/2016,Sergei Prokofiev ,15,m,15, Romeo and Juliet: Suite - Nelsons 2013,nan,nan,nan,nan,nan,,,
8/28/2016,Aaron Copland ,29,m,29, Quiet City, for trumpet, English horn and strings,Thomas Rolfs , Trumpet Robert Sheena ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,
8/28/2016,Ludwig van Beethoven ,5,m,5, Symphony No. 9 in D minor, Op. 125,Tanglewood Festival Chorus , SATB Chorus Ruxandra Donose ,nan,nan,nan,,
9/24/2016,Dmitri Shostakovich ,1,m,1, Festive Overture, Op. 96,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
9/24/2016,Sergei Prokofiev ,15,m,15, Concerto for Piano No. 3 in C major, Op. 26,Lang Lang , Piano,nan,nan,nan,,
9/24/2016,Manuel Ponce ,82,m,82, Intermezzo No. 1,Lang Lang , Piano,nan,nan,nan,,,
9/24/2016,Modest Mussorgsky ,62,m,62, Pictures at an Exhibition,nan,nan,nan,nan,nan,,,
9/29/2016,Richard Strauss ,3,m,3, Rosenkavalier, Der, Op. 59,Voices Boston , Children's Choir David Cangelosi ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
9/30/2016,Dmitri Shostakovich ,1,m,1, Festive Overture, Op. 96,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
9/30/2016,Modest Mussorgsky ,62,m,62, Pictures at an Exhibition,nan,nan,nan,nan,nan,,,
10/1/2016,Richard Strauss ,3,m,3, Rosenkavalier, Der, Op. 59,Voices Boston , Children's Choir David Cangelosi ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
10/6/2016,Jörg Widmann ,26,m,26, Trauermarsch,Yefim Bronfman , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/6/2016,Johannes Brahms ,8,m,8, Deutsches Requiem, Op. 45,Tanglewood Festival Chorus , SATB Chorus Thomas Hampson ,nan,nan,nan,,
10/7/2016,Jörg Widmann ,26,m,26, Trauermarsch,Yefim Bronfman , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/7/2016,Johannes Brahms ,8,m,8, Deutsches Requiem, Op. 45,Tanglewood Festival Chorus , SATB Chorus Thomas Hampson ,nan,nan,nan,,
10/8/2016,Jörg Widmann ,26,m,26, Trauermarsch,Yefim Bronfman , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/8/2016,Johannes Brahms ,8,m,8, Deutsches Requiem, Op. 45,Tanglewood Festival Chorus , SATB Chorus Thomas Hampson ,nan,nan,nan,,
11/8/2016,Eric Nathan ,42,m,42, Space of a door, The,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/8/2016,Johannes Brahms ,8,m,8, Concerto for Piano No. 1 in D minor, Op. 15,H�lène Grimaud , Piano,nan,nan,nan,,
11/8/2016,Johannes Brahms ,8,m,8, Symphony No. 1 in C minor, Op. 68,nan,nan,nan,nan,nan,,
11/10/2016,Eric Nathan ,42,m,42, Space of a door, The,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/10/2016,Johannes Brahms ,8,m,8, Concerto for Piano No. 1 in D minor, Op. 15,H�lène Grimaud , Piano,nan,nan,nan,,
11/10/2016,Johannes Brahms ,8,m,8, Symphony No. 1 in C minor, Op. 68,nan,nan,nan,nan,nan,,
11/11/2016,Eric Nathan ,42,m,42, Space of a door, The,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/11/2016,Johannes Brahms ,8,m,8, Concerto for Piano No. 1 in D minor, Op. 15,H�lène Grimaud , Piano,nan,nan,nan,,
11/11/2016,Johannes Brahms ,8,m,8, Symphony No. 2 in D major, Op. 73,nan,nan,nan,nan,nan,,
11/12/2016,Eric Nathan ,42,m,42, Space of a door, The,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/12/2016,Johannes Brahms ,8,m,8, Concerto for Piano No. 1 in D minor, Op. 15,H�lène Grimaud , Piano,nan,nan,nan,,
11/12/2016,Johannes Brahms ,8,m,8, Symphony No. 2 in D major, Op. 73,nan,nan,nan,nan,nan,,
11/15/2016,Timo Andres ,43,m,43, Everything Happens So Much,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/15/2016,Johannes Brahms ,8,m,8, Concerto for Piano No. 2 in B-flat, Op. 83,H�lène Grimaud , Piano,nan,nan,nan,,
11/15/2016,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,nan,nan,nan,,
11/17/2016,Timo Andres ,43,m,43, Everything Happens So Much,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
11/17/2016,Johannes Brahms ,8,m,8, Concerto for Piano No. 2 in B-flat, Op. 83,H�lène Grimaud , Piano,nan,nan,nan,,
11/17/2016,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,nan,nan,nan,,
11/18/2016,Johannes Brahms ,8,m,8, Symphony No. 4 in E minor, Op. 98,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/18/2016,Timo Andres ,43,m,43, Everything Happens So Much,nan,nan,nan,nan,nan,,,
11/18/2016,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,nan,nan,nan,,
11/19/2016,Johannes Brahms ,8,m,8, Symphony No. 4 in E minor, Op. 98,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/19/2016,Timo Andres ,43,m,43, Everything Happens So Much,nan,nan,nan,nan,nan,,,
11/19/2016,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,nan,nan,nan,,
2/2/2017,Johann Sebastian Bach ,10,m,10, Mass in B minor, BWV 232,Benjamin Bruns , Tenor Tanglewood Festival Chorus ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/3/2017,Johann Sebastian Bach ,10,m,10, Mass in B minor, BWV 232,Benjamin Bruns , Tenor Tanglewood Festival Chorus ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/4/2017,Johann Sebastian Bach ,10,m,10, Mass in B minor, BWV 232,Benjamin Bruns , Tenor Tanglewood Festival Chorus ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/7/2017,Johann Sebastian Bach ,10,m,10, Mass in B minor, BWV 232,Benjamin Bruns , Tenor Tanglewood Festival Chorus ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/9/2017,Maurice Ravel ,13,m,13, Tombeau de Couperin, Le,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/9/2017,George Benjamin ,36,m,36, Dream of the Song for countertenor, female chorus and orchestra,Lorelei Ensemble , Vocal Ensemble Moritz Gnann ,nan,nan,nan,,
2/9/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,Moritz Gnann , Conductor,nan,nan,nan,,
2/10/2017,George Benjamin ,36,m,36, Dream of the Song for countertenor, female chorus and orchestra,Lorelei Ensemble , Vocal Ensemble Bejun Mehta ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/10/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,nan,nan,nan,nan,nan,,
2/11/2017,Maurice Ravel ,13,m,13, Tombeau de Couperin, Le,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/11/2017,George Benjamin ,36,m,36, Dream of the Song for countertenor, female chorus and orchestra,Lorelei Ensemble , Vocal Ensemble Bejun Mehta ,nan,nan,nan,,
2/11/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,nan,nan,nan,nan,nan,,
2/14/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 2 in B-flat major, Op. 19,Emanuel Ax , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/14/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,nan,nan,nan,nan,nan,,
2/16/2017,Gunther Schuller ,18,m,18, Studies (7) on Themes of Paul Klee,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
2/16/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 22 in E-flat major, K. 482,Emanuel Ax , Piano,nan,nan,nan,,
2/16/2017,Ludwig van Beethoven ,5,m,5, Symphony No. 3 in E-flat major, Op. 55," ""Eroica""",nan,nan,nan,nan,nan,
2/17/2017,Gunther Schuller ,18,m,18, Studies (7) on Themes of Paul Klee,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
2/17/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 22 in E-flat major, K. 482,Emanuel Ax , Piano,nan,nan,nan,,
2/17/2017,Ludwig van Beethoven ,5,m,5, Symphony No. 3 in E-flat major, Op. 55," ""Eroica""",nan,nan,nan,nan,nan,
2/18/2017,Gunther Schuller ,18,m,18, Studies (7) on Themes of Paul Klee,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
2/18/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 22 in E-flat major, K. 482,Emanuel Ax , Piano,nan,nan,nan,,
2/18/2017,Ludwig van Beethoven ,5,m,5, Symphony No. 3 in E-flat major, Op. 55," ""Eroica""",nan,nan,nan,nan,nan,
2/21/2017,Gunther Schuller ,18,m,18, Studies (7) on Themes of Paul Klee,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
2/21/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 22 in E-flat major, K. 482,Emanuel Ax , Piano,nan,nan,nan,,
2/21/2017,Ludwig van Beethoven ,5,m,5, Symphony No. 3 in E-flat major, Op. 55," ""Eroica""",nan,nan,nan,nan,nan,
2/23/2017,Sofia Gubaidulina ,24,f,24, Triple Concerto for violin, cello, and bayan,Harriet Krijgh , Cello Elsbeth Moser ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
2/23/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 7 in C, Op. 60," ""Leningrad""",nan,nan,nan,nan,nan,
2/24/2017,Sofia Gubaidulina ,24,f,24, Triple Concerto for violin, cello, and bayan,Harriet Krijgh , Cello Elsbeth Moser ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
2/24/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 7 in C, Op. 60," ""Leningrad""",nan,nan,nan,nan,nan,
2/25/2017,Sofia Gubaidulina ,24,f,24, Triple Concerto for violin, cello, and bayan,Harriet Krijgh , Cello Elsbeth Moser ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
2/25/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 7 in C, Op. 60," ""Leningrad""",nan,nan,nan,nan,nan,
2/28/2017,Sofia Gubaidulina ,24,f,24, Triple Concerto for violin, cello, and bayan,Harriet Krijgh , Cello Elsbeth Moser ,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,
2/28/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 7 in C, Op. 60," ""Leningrad""",nan,nan,nan,nan,nan,
3/1/2017,Gunther Schuller ,18,m,18, Studies (7) on Themes of Paul Klee,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,,
3/1/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 22 in E-flat major, K. 482,Emanuel Ax , Piano,nan,nan,nan,,
3/1/2017,Ludwig van Beethoven ,5,m,5, Symphony No. 3 in E-flat major, Op. 55," ""Eroica""",nan,nan,nan,nan,nan,
3/2/2017,Maurice Ravel ,13,m,13, Tombeau de Couperin, Le,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,
3/2/2017,George Benjamin ,36,m,36, Dream of the Song for countertenor, female chorus and orchestra,Lorelei Ensemble , Vocal Ensemble Bejun Mehta ,nan,nan,nan,,
3/2/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,nan,nan,nan,nan,nan,,
3/4/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 22 in E-flat major, K. 482,Emanuel Ax , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony House,,
3/4/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,nan,nan,nan,nan,nan,,
3/4/2017,Georges Bizet ,31,m,31, Carmen: Suite No. 1: (3) Intermezzo (Act III Nocturne),nan,nan,nan,nan,nan,,,
3/5/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 2 in B-flat major, Op. 19,Emanuel Ax , Piano,Andris Nelsons,Boston Symphony Orchestra,Roy Thomson Hall,,
3/5/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,nan,nan,nan,nan,nan,,
3/5/2017,Georges Bizet ,31,m,31, Carmen: Suite No. 1: (3) Intermezzo (Act III Nocturne),nan,nan,nan,nan,nan,,,
4/13/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 20 in D minor, K.466,Mitsuko Uchida , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/13/2017,Anton Bruckner ,12,m,12, Symphony No. 6 in A,nan,nan,nan,nan,nan,,,
4/14/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 20 in D minor, K.466,Mitsuko Uchida , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/14/2017,Anton Bruckner ,12,m,12, Symphony No. 6 in A,nan,nan,nan,nan,nan,,,
4/15/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 20 in D minor, K.466,Mitsuko Uchida , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/15/2017,Anton Bruckner ,12,m,12, Symphony No. 6 in A,nan,nan,nan,nan,nan,,,
4/20/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 24 in C minor, K.491,Radu Lupu , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/20/2017,Wolfgang Amadeus Mozart ,6,m,6, Requiem in D minor, K.626,Tanglewood Festival Chorus , SATB Chorus Lucy Crowe ,nan,nan,nan,,
4/21/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 24 in C minor, K.491,Radu Lupu , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/21/2017,Wolfgang Amadeus Mozart ,6,m,6, Requiem in D minor, K.626,Tanglewood Festival Chorus , SATB Chorus Lucy Crowe ,nan,nan,nan,,
4/22/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 24 in C minor, K.491,Radu Lupu , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/22/2017,Wolfgang Amadeus Mozart ,6,m,6, Requiem in D minor, K.626,Tanglewood Festival Chorus , SATB Chorus Lucy Crowe ,nan,nan,nan,,
4/27/2017,Dmitri Shostakovich ,1,m,1, Festive Overture, Op. 96,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/27/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Anne-Sophie Mutter , Violin,nan,nan,nan,,
4/27/2017,Toru Takemitsu ,48,m,48, Nostalghia (In Memory of Andrei Tarkovskij), for violin and strings,Anne-Sophie Mutter , Violin,nan,nan,nan,,
4/27/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 6 in B minor, Op. 54,nan,nan,nan,nan,nan,,
4/28/2017,Dmitri Shostakovich ,1,m,1, Festive Overture, Op. 96,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/28/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Anne-Sophie Mutter , Violin,nan,nan,nan,,
4/28/2017,Toru Takemitsu ,48,m,48, Nostalghia (In Memory of Andrei Tarkovskij), for violin and strings,Anne-Sophie Mutter , Violin,nan,nan,nan,,
4/28/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 6 in B minor, Op. 54,nan,nan,nan,nan,nan,,
4/29/2017,Dmitri Shostakovich ,1,m,1, Festive Overture, Op. 96,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/29/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Anne-Sophie Mutter , Violin,nan,nan,nan,,
4/29/2017,Toru Takemitsu ,48,m,48, Nostalghia (In Memory of Andrei Tarkovskij), for violin and strings,Anne-Sophie Mutter , Violin,nan,nan,nan,,
4/29/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 6 in B minor, Op. 54,nan,nan,nan,nan,nan,,
5/2/2017,Dmitri Shostakovich ,1,m,1, Festive Overture, Op. 96,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
5/2/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Anne-Sophie Mutter , Violin,nan,nan,nan,,
5/2/2017,Toru Takemitsu ,48,m,48, Nostalghia (In Memory of Andrei Tarkovskij), for violin and strings,Anne-Sophie Mutter , Violin,nan,nan,nan,,
5/2/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 6 in B minor, Op. 54,nan,nan,nan,nan,nan,,
5/4/2017,Dmitri Shostakovich ,1,m,1, Suite from incidental music to King Lear, Op. 58a,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
5/4/2017,Sergei Rachmaninoff ,9,m,9, Concerto for Piano No. 4 in G minor, Op. 40,Leif Ove Andsnes , Piano,nan,nan,nan,,
5/4/2017,Gustav Mahler ,2,m,2, Symphony No. 4 in G,Kristine Opolais , Soprano,nan,nan,nan,,,
5/5/2017,Dmitri Shostakovich ,1,m,1, Suite from incidental music to King Lear, Op. 58a,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
5/5/2017,Sergei Rachmaninoff ,9,m,9, Concerto for Piano No. 4 in G minor, Op. 40,Leif Ove Andsnes , Piano,nan,nan,nan,,
5/5/2017,Gustav Mahler ,2,m,2, Symphony No. 4 in G,Kristine Opolais , Soprano,nan,nan,nan,,,
5/6/2017,Dmitri Shostakovich ,1,m,1, Suite from incidental music to King Lear, Op. 58a,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
5/6/2017,Sergei Rachmaninoff ,9,m,9, Concerto for Piano No. 4 in G minor, Op. 40,Leif Ove Andsnes , Piano,nan,nan,nan,,
5/6/2017,Gustav Mahler ,2,m,2, Symphony No. 4 in G,Kristine Opolais , Soprano,nan,nan,nan,,,
7/7/2017,Gustav Mahler ,2,m,2, Symphony No. 2," ""Resurrection""",Tanglewood Festival Chorus , SATB Chorus Malin Christensson ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/9/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Violin No. 3 in G major, K. 216,Daniel Lozakovitj , Violin,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/9/2017,Gustav Mahler ,2,m,2, Symphony No. 4 in G,Kristine Opolais , Soprano,nan,nan,nan,,,
7/10/2017,Sergei Prokofiev ,15,m,15, Symphony No. 1, Op. 25," ""Classical""",nan,nan,Andris Nelsons,Tanglewood Music Center Orchestra,Tanglewood - Seiji Ozawa Hall,
7/10/2017,Mark-Anthony Turnage ,33,m,33, Blood on the Floor,nan,nan,nan,nan,nan,,,
7/10/2017,Mark-Anthony Turnage ,33,m,33, Dispelling the Fears: for two trumpets and orchestra,nan,nan,nan,nan,nan,,,
7/10/2017,Igor Stravinsky ,30,m,30, Symphony in Three Movements,nan,nan,nan,nan,nan,,,
7/14/2017,Maurice Ravel ,13,m,13, Tombeau de Couperin, Le,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/14/2017,Franz Joseph Haydn ,11,m,11, Symphony No. 83," La Poule (""The Hen"")",nan,nan,nan,nan,nan,,
7/14/2017,Thomas Adès ,73,m,73, Three Studies from Couperin,nan,nan,nan,nan,nan,,,
7/14/2017,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 21 in C major, K. 467,Daniil Trifonov , Piano,nan,nan,nan,,
7/15/2017,Richard Wagner ,14,m,14, Das Rheingold,Ain Anger , Bass Patricia Bardon ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
7/16/2017,John Williams ,25,m,25, Markings, for solo violin, strings, and harp,Anne-Sophie Mutter , Violin,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed
7/16/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Anne-Sophie Mutter , Violin,nan,nan,nan,,
7/16/2017,John Williams ,25,m,25, Schindler's List: Theme,Anne-Sophie Mutter , Violin,nan,nan,nan,,,
7/16/2017,Hector Berlioz ,20,m,20, Symphonie fantastique, Op. 14,nan,nan,nan,nan,nan,,
8/20/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Paul Lewis , Piano,Andris Nelsons,Tanglewood Music Center Orchestra,Tanglewood - Shed,,
8/20/2017,Richard Strauss ,3,m,3, Alpensinfonie, Op. 64," ""Alpine Symphony""",nan,nan,nan,nan,nan,
8/26/2017,Giacomo Puccini ,22,m,22, Tosca, Act II,Matthew DiBattista , Tenor Russell Thomas ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
8/26/2017,Richard Wagner ,14,m,14, Tannhäuser: Act 2: Entrance of the Guests,Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan,,,
8/26/2017,Richard Wagner ,14,m,14, Meistersinger: Act 2: Monologue of Hans Sachs, Was duftet doch der Flieder,Bryn Terfel , Bass-Baritone,nan,nan,nan,,
8/26/2017,Antonin Dvorak ,16,m,16, Rusalka: Song to the Moon,Kristine Opolais , Soprano,nan,nan,nan,,,
8/26/2017,Antonin Dvorak ,16,m,16, Rusalka: Polonaise,nan,nan,nan,nan,nan,,,
8/26/2017,George Gershwin ,59,m,59, Porgy and Bess: Act I: Introduction, Jazzbo Brown Blues, and Summertime,nan,nan,nan,nan,nan,
8/26/2017,George Gershwin ,59,m,59, Porgy and Bess: Act II: I got plenty o’ nuttin',Bryn Terfel , Bass-Baritone,nan,nan,nan,,,
8/26/2017,George Gershwin ,59,m,59, Porgy and Bess: Act II: Bess, You is My Woman Now,Kristine Opolais , Soprano Bryn Terfel ,nan,nan,nan,,
8/26/2017,Wolfgang Amadeus Mozart ,6,m,6, Don Giovanni, K. 527: Act 1: Là ci darem la mano (duet, Zerlina and Don G.),nan,nan,nan,nan,nan,
8/27/2017,Charles Ives ,72,m,72, Three Places in New England: (3) From the Housatonic at Stockbridge,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
8/27/2017,Ludwig van Beethoven ,5,m,5, Symphony No. 9 in D minor, Op. 125,Tanglewood Festival Chorus , SATB Chorus Katie Van Kooten ,nan,nan,nan,,
9/22/2017,Leonard Bernstein ,7,m,7, Divertimento for Orchestra,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
9/22/2017,Leonard Bernstein ,7,m,7, Halil, for flute and orchestra,Elizabeth Rowe , Flute,nan,nan,nan,,
9/22/2017,Leonard Bernstein ,7,m,7," Songfest: ""A Julia de Burgos""",Julia Bullock , Soprano,nan,nan,nan,,,
9/22/2017,Leonard Bernstein ,7,m,7, Piccola serenata,Julia Bullock , Soprano,nan,nan,nan,,,
9/22/2017,Leonard Bernstein ,7,m,7, Wonderful Town: A Little Bit in Love,Julia Bullock , Soprano,nan,nan,nan,,,
9/22/2017,Leonard Bernstein ,7,m,7, Candide: I Am Easily Assimilated,Tanglewood Festival Chorus , SATB Chorus Frederica Von Stade ,nan,nan,nan,,,
9/22/2017,Leonard Bernstein ,7,m,7, Candide: It Must Be So,Julia Bullock , Soprano,nan,nan,nan,,,
9/22/2017,Leonard Bernstein ,7,m,7, Peter Pan: Neverland,Julia Bullock , Soprano Frederica Von Stade ,nan,nan,nan,,,
9/22/2017,Leonard Bernstein ,7,m,7, West Side Story: Symphonic Dances,nan,nan,nan,nan,nan,,,
9/23/2017,Franz Joseph Haydn ,11,m,11, Symphony No. 103 in E-flat," ""Drumroll""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
9/23/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
9/26/2017,Franz Joseph Haydn ,11,m,11, Symphony No. 103 in E-flat," ""Drumroll""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
9/26/2017,Gustav Mahler ,2,m,2, Symphony No. 1 in D,nan,nan,nan,nan,nan,,,
9/28/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 4 in G major, Op. 58,Paul Lewis , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
9/28/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 11 in G minor, Op. 103, The Year 1905,nan,nan,nan,nan,nan,
9/29/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 4 in G major, Op. 58,Paul Lewis , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
9/29/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 11 in G minor, Op. 103, The Year 1905,nan,nan,nan,nan,nan,
9/30/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 4 in G major, Op. 58,Paul Lewis , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
9/30/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 11 in G minor, Op. 103, The Year 1905,nan,nan,nan,nan,nan,
10/3/2017,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 4 in G major, Op. 58,Paul Lewis , Piano,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/3/2017,Dmitri Shostakovich ,1,m,1, Symphony No. 11 in G minor, Op. 103, The Year 1905,nan,nan,nan,nan,nan,
10/5/2017,Arlene Sierra ,58,f,58, Moler,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/5/2017,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Violin in D Major, Op. 35,Gil Shaham , Violin,nan,nan,nan,,
10/5/2017,Sergei Rachmaninoff ,9,m,9, Symphony No. 2 in E minor, Op. 27,nan,nan,nan,nan,nan,,
